pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,0,0,0,0,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,1,1,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,2,2,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
i,0,0,3,3,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,1.273235,,,,,,,,,,,,,,,,,,,,,,,
e,0,0,4,4,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.53515,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,5,5,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.547115,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,6,6,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.420465,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,7,7,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.58736,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,8,8,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.48562,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,9,9,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.53426,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,10,10,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.554125,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,11,11,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.618215,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,12,12,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,Occulus,2020-07-16_18h40.59.480,ANT,2020.1.3,Win32,60,0.473505,,,,,,,,,,,,,,,,,,,,,,,
