pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,0,0,0,0,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,1,1,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,1.21781,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,2,2,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,1.323175,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,3,3,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.87755,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,4,4,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.836915,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,5,5,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.961035,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,6,6,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.794255,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,7,7,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.583295,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,8,8,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.5321,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,9,9,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.70132,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,10,10,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.560985,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,11,11,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.45992,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,12,12,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.435225,,,,,,,,,,,,,,,,,,,,,,,
i,0,0,13,13,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.43748,,,,,,,,,,,,,,,,,,,,,,,
e,0,0,14,14,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.50643,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,15,15,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.68558,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,16,16,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.627025,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,17,17,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.516895,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,18,18,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.887695,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,19,19,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.41898,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,20,20,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.52445,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,21,21,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.789835,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,22,22,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.480715,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,23,23,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,0.383,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,space,2.149795,space,6.43366,,0,0,0,0,13,1,0.7,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,i,1,0,1,1,11,1,1.6,1.244665,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,2,2,23,1,0.8,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,e,1,0,3,3,10,1,1.6,1.229055,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,4,4,15,1,0.3,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,5,5,39,1,0.3,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,i,1,0,6,6,7,1,1.6,1.12992,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,7,7,36,1,0.3,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,8,8,29,1,0.8,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,9,9,28,1,0.7,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,10,10,18,1,0.9,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,i,1,0,11,11,45,1,1.3,1.329955,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,12,12,37,1,0.9,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,e,1,0,13,13,16,1,1.2,1.62949,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,e,1,0,14,14,4,1,1.6,1.024565,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,i,1,0,15,15,5,1,1.6,1.034035,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,16,16,38,1,0.2,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,i,1,0,17,17,43,1,1.1,1.57719,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,e,1,0,18,18,2,1,1.6,0.98768,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,19,19,46,1,0.4,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,e,1,0,20,20,26,1,1.1,1.5944,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,21,21,21,1,0.1,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,22,22,19,1,1,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,23,23,12,1,0.6,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,24,24,20,1,0.2,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,i,1,0,25,25,1,1,1.6,1.028415,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,26,26,31,1,1,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,e,1,0,27,27,32,1,1.3,1.36435,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,,2020-07-22_13h58.37.015,ANT,2020.1.3,MacIntel,60,,,,,,,0,0,28,28,35,1,0.1,,,,,,,,,,,
