pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,0,0,0,0,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,1,1,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,1.37702,,,,,,,,,,,,,,,,,,,,,,,
,0,0,2,2,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,3,3,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.97393,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,4,4,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.72121,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,5,5,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,1.14631,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,6,6,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.77485,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,7,7,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.84102,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,8,8,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.740775,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,9,9,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,1.085185,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,10,10,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,1.02032,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,11,11,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.90197,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,12,12,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.831355,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,13,13,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.658065,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,14,14,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.66459,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,15,15,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,1.08827,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,16,16,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.770865,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,17,17,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.70177,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,18,18,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.93505,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,19,19,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,issue,2020-07-19_16h20.36.985,ANT,2020.1.3,Win32,60,0.668345,,,,,,,,,,,,,,,,,,,,,,,
