pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,0,0,0,0,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,1,1,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,1.26741,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,2,2,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,1.25348,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,3,3,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,1.287775,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,4,4,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.975245,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,5,5,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,1.04871,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,6,6,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.89786,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,7,7,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,1.139125,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,8,8,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.88846,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,9,9,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.753775,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,10,10,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.97266,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,11,11,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.81623,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,12,12,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.938575,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,13,13,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.905825,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,14,14,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.699365,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,15,15,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,1.05514,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,16,16,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,1.04123,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,17,17,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.932915,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,18,18,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.982845,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,19,19,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.75649,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,20,20,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.73674,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,21,21,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.887955,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,22,22,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.720095,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,23,23,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,0.796235,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,,space,4.511855,space,8.64146,,0,0,0,0,31,1,1,,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,,,,,,,0,0,1,1,16,1,1.2,,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,,,,,,,0,0,2,2,37,1,0.9,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,point,2020-10-01_14h42.57.361,ANT,2020.1.3,Win32,60,,,,,,i,1,0,3,3,1,1,1.6,1.34041,,,,,,,,,,
