pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,0,0,0,0,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,1,1,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,1.236,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,2,2,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,1.164,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,3,3,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,1.132,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,4,4,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,0.717,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,5,5,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,1.286,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,6,6,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,0.798,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,7,7,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,1.133,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,8,8,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,0.6,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,9,9,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,0.983,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,10,10,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,1.019,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,11,11,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,0.813,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,12,12,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,team,2020-08-17_15h30.16.281,ANT,2020.1.3,MacIntel,60,0.684,,,,,,,,,,,,,,,,,,,,,,,
