pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,0,0,0,0,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,1,1,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,1.303665,,,,,,,,,,,,,,,,,,,,,,,
e,0,0,2,2,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,0.753995,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,3,3,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,0.904445,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,4,4,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,1.305505,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,5,5,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,0.951095,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,6,6,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,0.98708,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,7,7,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,0.802675,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,8,8,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,0.86966,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,9,9,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,work,2020-07-18_12h18.19.952,ANT,2020.1.3,Win32,60,0.80794,,,,,,,,,,,,,,,,,,,,,,,
